date,ret.total.count,ret.total.benefit,ret.men.count,ret.men.benefit,ret.women.count,ret.women.benefit,spouse.total.count,spouse.total.benefit,spouse.men.count,spouse.men.benefit,spouse.women.count,spouse.women.benefit,new.ret.total.count,new.ret.total.benefit,new.ret.men.count,new.ret.men.benefit,new.ret.women.count,new.ret.women.benefit,new.spouse.total.count,new.spouse.total.benefit,new.spouse.men.count,new.spouse.men.benefit,new.spouse.women.count,new.spouse.women.benefit,exits.ret.men,exits.ret.women,exits.spouse.men,exits.spouse.women
1974-12-01,15958492,188.20999999999998,8832455,206.56,7126037,165.48000000000002,2826022,95.76,7521,90.95,2818501,95.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-01-01,16040839,188.62,8883815,207.06,7157024,165.73,2826016,95.88,7473,91.03,2818543,95.89,151615,202.94,94956,224.81,56659,166.26999999999998,25556,95.36,51,82.61,25505,95.39,43596,25672,99,25463
1975-02-01,16070281,188.79,8900057,207.29,7170224,165.83,2828611,95.9,7429,90.98,2821182,95.91,110555,195.32000000000002,66899,219.05,43656,158.95000000000002,29205,93.23,54,88.28,29151,93.24,50657,30456,98,26512
1975-03-01,16080406,188.98000000000002,8906066,207.57,7174340,165.89000000000001,2826855,95.98,7372,91.09,2819483,95.99,135611,194.87,81448,218.69,54163,159.05,32369,93,73,87.73,32296,93.02,75439,50047,130,33995
1975-04-01,16113058,189.10999999999999,8918573,207.76,7194485,165.98000000000002,2827917,96.01,7369,91.09,2820548,96.02,130311,194.05,77396,218.78,52915,157.88000000000002,31607,91.79,66,86.26,31541,91.8,64889,32770,69,30476
1975-05-01,16166618,189.20999999999998,8941783,207.91,7224835,166.08,2833310,96.01,7374,91.05,2825936,96.02,153002,194.14,90062,219.47,62940,157.91,39140,91.25,104,90.93,39036,91.25,66852,32590,99,33648
1975-06-01,16210295,205.16,8980535,225.3,7229760,180.14,2836004,104.43,7356,98.54,2828648,104.44,91705,214.97,56599,237.87,35106,178.05,20661,99.42,38,97.01,20623,99.42,17847,30181,56,17911
1975-07-01,16293864,205.47,9032196,225.62,7261668,180.4,2844405,104.52,7344,98.64,2837061,104.54,134181,216.94,80147,243.07,54034,178.19,31851,100.48,67,93.25,31784,100.5,28486,22126,79,23371
1975-08-01,16344560,205.59,9035945,225.8,7308615,180.6,2849566,104.54,7347,98.64,2842219,104.56,131737,213.72,78949,240.5,52788,173.67,30766,99.6,78,90.19,30688,99.63,75200,5841,75,25530
1975-09-01,16387835,205.79,9054735,226.07,7333100,180.75,2852542,104.6,7324,98.68,2845218,104.62,123870,212.23999999999998,73356,240.84,50514,170.7,29660,99.22,67,93.93,29593,99.23,54566,26029,90,26594
1975-10-01,16461422,206.3,9089429,226.72,7371993,181.13,2859675,104.83,7331,98.73,2852344,104.85,122103,213.43,72877,241.26999999999998,49226,172.2,27777,98.31,66,83.98,27711,98.34,38183,10333,59,20585
1975-11-01,16518339,206.58,9130160,227.02,7388179,181.31,2862578,104.91,7289,98.75,2855289,104.92,108924,212.15,63646,241.73,45278,170.56,25682,98.71,55,90.51,25627,98.73,22915,29092,97,22682
1975-12-01,16588174,207.18,9163776,227.75,7424398,181.8,2867421,105.19,7263,99.07,2860158,105.21,112092,212.07,65955,241.3,46137,170.28,26313,98.91,60,95.91,26253,98.92,32339,9918,86,21384
1976-01-01,16682885,207.7,9221444,228.39000000000001,7461441,182.12,2872604,105.36,7229,99.17,2865375,105.37,166080,224.85000000000002,103699,251.37,62381,180.78,35121,104.82,75,98.4,35046,104.83,46031,25338,109,29829
1976-02-01,16711176,207.85000000000002,9233187,228.60999999999999,7477989,182.23,2872591,105.41,7183,99,2865408,105.43,116165,215.75,69007,245.18,47158,172.69,27459,103.12,61,82.37,27398,103.17,57264,30610,107,27365
1976-03-01,16710708,207.94,9229419,228.79,7481289,182.22,2869734,105.45,7138,99,2862596,105.46,145759,216.26999999999998,86204,245.33,59555,174.2,36182,103.38,71,93.28,36111,103.4,89972,56255,116,38923
1976-04-01,16693365,208.01,9210533,228.94,7482832,182.25,2861655,105.46,7079,98.98,2854576,105.48,126794,215.8,74898,245.58,51896,172.82000000000002,29604,100.31,64,89.58,29540,100.34,93784,50353,123,37560
1976-05-01,16715846,208.16,9213364,229.15,7502482,182.39000000000001,2858940,105.5,7060,98.96,2851880,105.52,120211,217.35000000000002,70484,248.55,49727,173.12,30080,101.05,62,97.75,30018,101.06,67653,30077,81,32714
1976-06-01,16788920,222.37,9247557,244.70999999999998,7541363,194.97,2866753,112.99,7069,105.37,2859684,113.01,119806,236.37,73453,264.51,46353,191.78,27608,110.92,49,92.39,27559,110.96,39260,7472,40,19755
1976-07-01,16869015,222.70999999999998,9283826,245.07,7585189,195.33,2873067,113.15,7045,105.71,2866022,113.16,129551,235.70999999999998,76095,267.21999999999997,53456,190.86,29915,109.97,68,97.03,29847,110,39826,9630,92,23509
1976-08-01,16911750,222.98000000000002,9300014,245.39000000000001,7611736,195.6,2872721,113.29,7032,105.76,2865689,113.31,90716,232.79,52125,269.3,38591,183.47,21067,108.03,41,85.04,21026,108.08,35937,12044,54,21359
1976-09-01,16981768,223.28,9335824,245.76,7645944,195.84,2881005,113.4,7041,105.99,2873964,113.42,114797,232.31,67084,265.68,47713,185.39000000000001,27430,108.82,63,103.36,27367,108.83,31274,13505,54,19092
1976-10-01,17050349,223.97,9368431,246.60999999999999,7681918,196.37,2887624,113.75,7027,106.34,2880597,113.77,117563,232.33,68342,266.46999999999997,49221,184.92000000000002,28194,108.7,57,112.41,28137,108.69,35735,13247,71,21504
1976-11-01,17116610,224.39000000000001,9399769,247.09,7716841,196.73,2892942,113.89,7000,106.5,2885942,113.91,117288,233.23999999999998,68603,267,48685,185.66,27776,108.72,63,99.66,27713,108.75,37265,13762,90,22368
1976-12-01,17165415,224.86,9420659,247.7,7744756,197.08,2896290,114.13,6996,106.68,2889294,114.15,110855,232.75,64587,267.04,46268,184.87,26307,109.89,59,96.32,26248,109.92,43697,18353,63,22896
1977-01-01,17252778,225.39000000000001,9472561,248.37,7780217,197.41,2900757,114.3,6944,106.75,2893813,114.32,155023,244.86,94907,276.42999999999995,60116,195.01,32126,114.45,61,103.01,32065,114.47,43005,24655,113,27546
1977-02-01,17285615,225.60999999999999,9487748,248.67,7797867,197.55,2900510,114.38,6905,106.79,2893605,114.4,110902,236.48000000000002,66914,269.6,43988,186.09,25784,111.47,49,99.59,25735,111.49,51727,26338,88,25943
1977-03-01,17264832,225.63,9473999,248.79,7790833,197.46,2893023,114.38,6828,106.62,2886195,114.4,176729,238.79,104859,272.13,71870,190.15,40906,112.63,75,99.81,40831,112.66,118608,78904,152,48241
1977-04-01,17280515,225.73999999999998,9476573,248.99,7803942,197.51,2888938,114.42,6778,106.55,2882160,114.43,90282,237.63,53837,271.22999999999996,36445,187.99,19192,110.63,36,88.38,19156,110.68,51263,23336,86,23191
1977-05-01,17304762,225.92000000000002,9476409,249.25,7828353,197.67,2886625,114.46,7808,105.28,2878817,114.48,177424,238.93,104349,273.17,73075,190.05,45545,110.07,2900,96.82,42645,110.98,104513,48664,1870,45988
1977-06-01,17380343,240.17,9512133,264.92999999999995,7868210,210.23999999999998,2899357,121.93,11541,108.32,2887816,121.98,86688,257.08,52119,293.31,34569,202.46,21592,116.71,2180,100.56,19412,118.53,16395,-5288,-1553,10413
1977-07-01,17476036,240.56,9556000,265.38,7920036,210.60999999999999,2916207,122.04,17399,105.6,2898808,122.14,149372,254.81,86294,291.9,63078,204.06,40094,115.95,6126,100.2,33968,118.79,42427,11252,268,22976
1977-08-01,17555887,240.89000000000001,9593794,265.77,7962093,210.9,2929637,122.12,22803,103.64,2906834,122.27,142598,255.17,83334,292.69,59264,202.41,37832,115.51,5762,97.18,32070,118.8,45540,17207,358,24044
1977-09-01,17630466,241.23999999999998,9630620,266.21999999999997,7999846,211.17,2940649,122.25,26409,102.58,2914240,122.43,133955,255.05,78163,294.01,55792,200.48000000000002,34322,116.7,4023,95.66,30299,119.49,41337,18039,417,22893
1977-10-01,17708627,242.04,9667586,267.2,8041041,211.78,2950718,122.66,29034,101.99,2921684,122.87,128211,254.15,74473,292.95,53738,200.38000000000002,32438,116.2,3044,94.26,29394,118.47,37507,12543,419,21950
