date,new.ret.total.count,new.ret.total.benefit,new.ret.men.count,new.ret.men.benefit,new.ret.women.count,new.ret.women.benefit,new.spouse.total.count,new.spouse.total.benefit,new.spouse.men.count,new.spouse.men.benefit,new.spouse.women.count,new.spouse.women.benefit
1975-01-01,151615,202.94,94956,224.81,56659,166.26999999999998,25556,95.36,51,82.61,25505,95.39
1975-02-01,110555,195.32000000000002,66899,219.05,43656,158.95000000000002,29205,93.23,54,88.28,29151,93.24
1975-03-01,135611,194.87,81448,218.69,54163,159.05,32369,93,73,87.73,32296,93.02
1975-04-01,130311,194.05,77396,218.78,52915,157.88000000000002,31607,91.79,66,86.26,31541,91.8
1975-05-01,153002,194.14,90062,219.47,62940,157.91,39140,91.25,104,90.93,39036,91.25
1975-06-01,91705,214.97,56599,237.87,35106,178.05,20661,99.42,38,97.01,20623,99.42
1975-07-01,134181,216.94,80147,243.07,54034,178.19,31851,100.48,67,93.25,31784,100.5
1975-08-01,131737,213.72,78949,240.5,52788,173.67,30766,99.6,78,90.19,30688,99.63
1975-09-01,123870,212.23999999999998,73356,240.84,50514,170.7,29660,99.22,67,93.93,29593,99.23
1975-10-01,122103,213.43,72877,241.26999999999998,49226,172.2,27777,98.31,66,83.98,27711,98.34
1975-11-01,108924,212.15,63646,241.73,45278,170.56,25682,98.71,55,90.51,25627,98.73
1975-12-01,112092,212.07,65955,241.3,46137,170.28,26313,98.91,60,95.91,26253,98.92
1976-01-01,166080,224.85000000000002,103699,251.37,62381,180.78,35121,104.82,75,98.4,35046,104.83
1976-02-01,116165,215.75,69007,245.18,47158,172.69,27459,103.12,61,82.37,27398,103.17
1976-03-01,145759,216.26999999999998,86204,245.33,59555,174.2,36182,103.38,71,93.28,36111,103.4
1976-04-01,126794,215.8,74898,245.58,51896,172.82000000000002,29604,100.31,64,89.58,29540,100.34
1976-05-01,120211,217.35000000000002,70484,248.55,49727,173.12,30080,101.05,62,97.75,30018,101.06
1976-06-01,119806,236.37,73453,264.51,46353,191.78,27608,110.92,49,92.39,27559,110.96
1976-07-01,129551,235.70999999999998,76095,267.21999999999997,53456,190.86,29915,109.97,68,97.03,29847,110
1976-08-01,90716,232.79,52125,269.3,38591,183.47,21067,108.03,41,85.04,21026,108.08
1976-09-01,114797,232.31,67084,265.68,47713,185.39000000000001,27430,108.82,63,103.36,27367,108.83
1976-10-01,117563,232.33,68342,266.46999999999997,49221,184.92000000000002,28194,108.7,57,112.41,28137,108.69
1976-11-01,117288,233.23999999999998,68603,267,48685,185.66,27776,108.72,63,99.66,27713,108.75
1976-12-01,110855,232.75,64587,267.04,46268,184.87,26307,109.89,59,96.32,26248,109.92
1977-01-01,155023,244.86,94907,276.42999999999995,60116,195.01,32126,114.45,61,103.01,32065,114.47
1977-02-01,110902,236.48000000000002,66914,269.6,43988,186.09,25784,111.47,49,99.59,25735,111.49
1977-03-01,176729,238.79,104859,272.13,71870,190.15,40906,112.63,75,99.81,40831,112.66
1977-04-01,90282,237.63,53837,271.22999999999996,36445,187.99,19192,110.63,36,88.38,19156,110.68
1977-05-01,177424,238.93,104349,273.17,73075,190.05,45545,110.07,2900,96.82,42645,110.98
1977-06-01,86688,257.08,52119,293.31,34569,202.46,21592,116.71,2180,100.56,19412,118.53
