date,ret.total.count,ret.total.benefit,ret.men.count,ret.men.benefit,ret.women.count,ret.women.benefit,spouse.total.count,spouse.total.benefit,spouse.men.count,spouse.men.benefit,spouse.women.count,spouse.women.benefit
1967-01-01,11713055,84.55,7062629,93.49000000000001,4650426,70.98,2641331,43.9,11407,42.08,2629924,43.91
1967-02-01,11730905,84.66999999999999,7071093,93.63,4659812,71.08,2639607,43.94,10137,42.45,2629470,43.95
1967-03-01,11651066,84.7,7008957,93.69,4642109,71.13,2606117,43.94,9922,42.56,2596195,43.94
1967-04-01,11705026,84.8,7043619,93.82,4661407,71.16,2625954,43.99,9940,42.54,2616014,44
1967-05-01,11659549,84.88,7010336,93.92,4649213,71.26,2605526,44.03,9780,42.62,2595746,44.04
1967-06-01,11745225,84.97,7048693,94.03,4696532,71.36,2618545,44.1,9829,42.64,2608716,44.1
1967-07-01,11819998,85.06,7081819,94.11999999999999,4738179,71.53,2632835,44.14,9844,42.65,2622991,44.14
1967-08-01,11863800,85.11,7096011,94.14999999999999,4767789,71.64999999999999,2636429,44.14,9836,42.68,2626593,44.15
1967-09-01,11886549,85.2,7099118,94.27,4787431,71.75,2633994,44.19,9807,42.74,2624187,44.19
1967-10-01,11929226,85.25,7120098,94.35,4809128,71.79,2637595,44.21,9748,42.78,2627847,44.21
1967-11-01,11972344,85.31,7138104,94.43,4834240,71.85,2642128,44.22,9698,42.8,2632430,44.23
1967-12-01,12019371,85.36999999999999,7160800,94.49000000000001,4858571,71.92,2645158,44.24,9655,42.82,2635503,44.24
1968-01-01,11614392,84.66,6881996,93.77,4732396,71.42,2550990,43.83,9196,42.73,2541794,43.83
1968-02-01,12179295,98.25,7259892,108.31,4919403,83.41000000000001,2664271,51.01,9624,48.98,2654647,51.02
1968-03-01,12085503,98.2,7192454,108.27,4893049,83.39,2634725,51.01,9409,49.04,2625316,51.01
1968-04-01,12095524,98.22,7189793,108.33,4905731,83.41000000000001,2634066,51.01,9299,49.07,2624767,51.01
1968-05-01,12133912,98.26,7202081,108.38,4931831,83.48,2634421,51.01,9334,49.07,2625087,51.02
1968-06-01,12188476,98.33,7224321,108.45,4964155,83.59,2635481,51.03,9319,49.06,2626162,51.04
1968-07-01,12234228,98.41000000000001,7239633,108.53,4994595,83.75,2638002,51.05,9349,49.15,2628653,51.06
1968-08-01,12154067,98.57,7183273,108.66999999999999,4970794,83.99000000000001,2616150,51.04,9200,49.36,2606950,51.04
1968-09-01,12335002,98.6,7276499,108.73,5058503,84.02,2643387,51.1,9326,49.33,2634061,51.11
1968-10-01,12237501,98.59,7207110,108.82,5030391,83.93,2618134,51.12,9083,49.27,2609051,51.12
1968-11-01,12324936,98.75,7256732,108.96000000000001,5068204,84.14,2634091,51.16,9173,49.3,2624918,51.17
1968-12-01,12421371,98.86,7309987,109.08,5111384,84.24000000000001,2645521,51.21,9172,49.33,2636349,51.22
1969-01-01,12466366,98.94000000000001,7325697,109.19,5140669,84.33,2646567,51.23,9149,49.33,2637418,51.23
1969-02-01,12490995,99.28,7343060,109.59,5147935,84.58,2640072,51.37,9047,49.44,2631025,51.37
1969-03-01,12498674,99.36,7347483,109.69,5151191,84.61999999999999,2639262,51.39,8944,49.47,2630318,51.39
1969-04-01,12506233,99.42,7346316,109.77,5159917,84.69,2634806,51.42,8894,49.58,2625912,51.42
1969-05-01,12530309,99.47,7349954,109.84,5180355,84.77,2631328,51.44,8843,49.58,2622485,51.44
1969-06-01,12581528,99.69,7370732,110.1,5210796,84.97,2633531,51.57,8841,49.71,2624690,51.57
1969-07-01,12642265,99.84,7392579,110.26,5249686,85.16,2637359,51.65,8871,49.76,2628488,51.65
1969-08-01,12716140,99.98,7421624,110.38,5294516,85.4,2644918,51.68,8912,49.89,2636006,51.68
1969-09-01,12768087,100.05,7446882,110.48,5321205,85.46000000000001,2650955,51.7,8897,49.88,2642058,51.71
1969-10-01,12761636,100.09,7438279,110.55,5323357,85.48,2647014,51.71,8825,49.8,2638189,51.72
1969-11-01,12785459,100.28,7445208,110.8,5340251,85.61999999999999,2645378,51.83,8789,49.93,2636589,51.83
1969-12-01,12823677,100.4,7459009,110.95,5364668,85.72,2644416,51.88,8738,49.94,2635678,51.89
1970-01-01,12856241,100.49000000000001,7470485,111.08,5385756,85.81,2645236,51.91,8703,50.01,2636533,51.92
1970-02-01,12941180,100.76,7528289,111.35,5412891,86.03,2654594,51.99,8655,50.06,2645939,52
1970-03-01,13031508,116.93,7578459,129.09,5453049,100.03,2664682,60.76,8633,57.86,2656049,60.77
1970-04-01,12956633,116.98,7536144,129.1,5420489,100.13,2642878,60.81,8497,57.95,2634381,60.82
1970-05-01,12990097,116.99000000000001,7534991,129.18,5455106,100.14999999999999,2642092,60.79,8460,57.99,2633632,60.8
1970-06-01,13066466,117.1,7570116,129.32000000000002,5496350,100.27,2650508,60.83,8481,58.02,2642027,60.84
1970-07-01,13115234,117.22,7584933,129.43,5530301,100.46000000000001,2651435,60.85,8496,58.15,2642939,60.86
1970-08-01,13207672,117.4,7626442,129.59,5581230,100.74000000000001,2661602,60.88,8542,58.25,2653060,60.89
1970-09-01,13254332,117.51,7649138,129.73999999999998,5605194,100.84,2665166,60.91,8510,58.29,2656656,60.92
1970-10-01,13277245,117.79,7658253,130.1,5618992,101,2664726,61.06,8445,58.39,2656281,61.07
1970-11-01,13309574,117.88,7670381,130.23999999999998,5639193,101.07,2666238,61.08,8405,58.44,2657833,61.09
1970-12-01,13352145,118.1,7690135,130.53,5662010,101.22,2668716,61.19,8351,58.51,2660365,61.2
1971-01-01,13377744,118.22,7699104,130.69,5678640,101.32,2668214,61.22,8304,58.5,2659910,61.23
1971-02-01,13490413,118.54,7768955,131.04,5721458,101.56,2677298,61.3,8277,58.61,2669021,61.31
1971-03-01,13450961,118.63,7742482,131.18,5708479,101.61,2664583,61.34,8183,58.6,2656400,61.35
1971-04-01,13542114,131.1,7785168,144.86,5756946,112.49000000000001,2671807,68.04,8174,64.66,2663633,68.05
1971-05-01,13537865,131.09,7779350,144.86,5758515,112.48,2667613,68.02,8157,64.75,2659456,68.03
1971-06-01,13603779,131.23999999999998,7814077,144.99,5789702,112.66999999999999,2673242,68.07,8158,64.83,2665084,68.08
1971-07-01,13686905,131.36,7845268,145.12,5841637,112.86999999999999,2679906,68.09,8191,64.91,2671715,68.1
1971-08-01,13782417,131.5,7890182,145.26,5892235,113.07,2690147,68.1,8155,64.97,2681992,68.11
1971-09-01,13846861,131.88000000000002,7919908,145.70999999999998,5926953,113.39,2693701,68.27,8169,65.19,2685532,68.28
1971-10-01,13870177,131.92000000000002,7933183,145.76999999999998,5936994,113.4,2698316,68.28,8190,65.11,2690126,68.29
1971-11-01,13890335,132.07,7936199,145.99,5954136,113.51,2697206,68.33,8149,65.19,2689057,68.34
1971-12-01,13925444,132.16,7950322,146.12,5975122,113.6,2697350,68.35,8132,65.24,2689218,68.36
1972-01-01,13988725,132.57,7985759,146.60999999999999,6002966,113.91000000000001,2699940,68.52,8090,65.4,2691850,68.53
1972-02-01,14037678,132.76,8009366,146.83,6028312,114.08,2698693,68.55,8045,65.38,2690648,68.56
1972-03-01,13998574,132.78,7982317,146.87,6016257,114.09,2687371,68.55,7933,65.4,2679438,68.56
1972-04-01,14060130,132.94,8010617,147.06,6049513,114.24000000000001,2693239,68.59,7938,65.62,2685301,68.6
1972-05-01,14099009,133.01,8023087,147.15,6075922,114.34,2695199,68.6,7952,65.68,2687247,68.61
1972-06-01,14181190,133.15,8060543,147.3,6120647,114.52,2706200,68.62,7986,65.81,2698214,68.62
1972-07-01,14265136,133.34,8099514,147.47,6165622,114.79,2716266,68.65,8032,66,2708234,68.66
1972-08-01,14392459,161.47,8158609,178.32000000000002,6233850,139.42000000000002,2727021,83.76,8043,79.65,2718978,83.77
1972-09-01,14394501,161.45000000000002,8164514,178.32000000000002,6229987,139.34,2733686,83.72,8077,79.62,2725609,83.73
1972-10-01,14416601,161.54,8166389,178.46,6250212,139.43,2728868,83.75,8021,79.67,2720847,83.76
1972-11-01,14454618,162,8185032,179,6269586,139.8,2728690,83.95,8042,79.82,2720648,83.96
1972-12-01,14555475,162.35000000000002,8230847,179.44,6324628,140.10999999999999,2734699,84.09,7967,79.97,2726732,84.11
1973-01-01,14602340,163.88000000000002,8262723,179.73999999999998,6339617,143.20999999999998,2742442,84.16,7999,80,2734443,84.18
1973-02-01,14700234,164.17,8320942,180.08,6379292,143.41,2749509,84.22,7946,80,2741563,84.23
1973-03-01,14684443,164.3,8309397,180.23,6375046,143.54,2741686,84.25,7902,80.05,2733784,84.26
1973-04-01,14740130,164.56,8329829,180.47,6410301,143.87,2745175,84.32,7849,80.22,2737326,84.33
1973-05-01,14761261,164.69,8331767,180.6,6429494,144.07,2738684,84.31,7843,80.19,2730841,84.32
1973-06-01,14879677,164.8,8385669,180.72,6494008,144.23999999999998,2756381,84.34,7907,80.27,2748474,84.35
1973-07-01,14948334,164.81,8424362,180.73,6523972,144.25,2760860,84.34,7964,80.52,2752896,84.36
1973-08-01,15043093,165.3,8458388,181.2,6584705,144.87,2770528,84.45,7954,80.44,2762574,84.46
1973-09-01,15106731,165.41,8486432,181.34,6620299,144.99,2777332,84.44,7917,80.46,2769415,84.45
1973-10-01,15142611,165.53,8497086,181.49,6645525,145.13,2779343,84.44,7889,80.49,2771454,84.45
1973-11-01,15307941,166.07,8584935,182.10999999999999,6723006,145.59,2803850,84.63,7921,80.62,2795929,84.64
1973-12-01,15364044,166.42000000000002,8608469,182.55,6755575,145.87,2808395,84.78,7902,80.81,2800493,84.79
1974-01-01,15457848,166.82000000000002,8665425,183.04,6792423,146.14,2811733,84.92,7861,80.85,2803872,84.93
1974-02-01,15490472,166.98000000000002,8678091,183.22,6812381,146.28,2811651,84.95,7834,80.93,2803817,84.96
1974-03-01,15513350,179.28,8687705,196.66,6825645,157.17,2812132,91.45,7791,86.75,2804341,91.47
1974-04-01,15529411,179.35000000000002,8688046,196.76999999999998,6841365,157.20999999999998,2810923,91.45,7749,86.81,2803174,91.46
1974-05-01,15493518,179.39000000000001,8660647,196.83,6832871,157.26999999999998,2799471,91.42,7708,86.63,2791763,91.43
1974-06-01,15588935,186.47,8700824,204.56,6888111,163.62,2806469,95.16,7693,90.06,2798776,95.17
1974-07-01,15659819,186.70999999999998,8728857,204.78,6930962,163.95000000000002,2809044,95.22,7656,90.3,2801388,95.24
1974-08-01,15726168,186.9,8761758,204.97,6964410,164.16,2813498,95.28,7650,90.27,2805848,95.29
1974-09-01,15787405,187.10999999999999,8751745,205.25,7035660,164.54,2819105,95.33,7636,90.43,2811469,95.35
1974-10-01,15846191,187.29,8780170,205.46,7066021,164.72,2823520,95.38,7607,90.51,2815913,95.39
